location_project,demo_category,season,total_season_days,total_duration,density_km2
1057-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,87,249.53100335219312,2.2436964584491847
1057-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,49,0,0
1057-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,87,324.389515084869,2.9167982991143298
1057-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,49,27.531003352193114,0.4390837926568868
1057-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,87,12.531003352193114,0.11267444712049424
1057-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,49,2.2655016760965574,0.03613181312303204
1057-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,87,0,0
1057-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,49,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,45,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,45,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,45,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,45,0,0
1058-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,0,0
1058-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,89,334.85851173267594,2.943226760589068
1058-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,102.32750838048278,1.599327403346782
1058-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,89,184.53100335219312,1.6219285704109747
1058-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,127.53100335219311,1.99324533222364
1058-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,89,117.24802681754491,1.0305472850908233
1058-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,20.796505028289673,0.32503889630451194
1058-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,89,0,0
1058-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,31.062006704386228,0.4854835157379993
1058-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,75,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,75,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,75,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,75,0,0
1058-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,89,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,50,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,89,31.531003352193114,0.27714061193846756
1058-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,50,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,89,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,50,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,89,0,0
1058-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,50,0,0
1150-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,89,0,0
1150-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,89,0,0
1150-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,89,0,0
1150-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,89,0,0
1150-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,89,0,0
1150-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,89,0,0
1150-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,89,0,0
1150-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,89,0,0
1150-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,58,0,0
1150-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,58,0,0
1150-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,58,0,0
1150-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,58,0,0
1150-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,64,0,0
1150-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,64,0,0
1150-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,64,0,0
1150-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,64,0,0
1190-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,81,746.4515217892553,7.274337845247623
1190-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,57,79.53100335219311,1.1002890392149063
1190-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,81,730.7170234653519,7.1210016227435835
1190-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,57,0,0
1190-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,81,419.7170234653518,4.090236725313676
1190-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,57,214.59301005657935,2.9688338749076952
1190-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,81,0,0
1190-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,57,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,79,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,57,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,79,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,57,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,79,2.2655016760965574,0.022636755234382657
1190-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,57,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,79,0,0
1190-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,57,0,0
1190-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,81,527.2480268175449,5.0915961279253725
1190-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,57,0,0
1190-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,81,138.65501676096557,1.3389814860357245
1190-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,57,0,0
1190-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,81,0,0
1190-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,57,0,0
1190-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,81,160.32750838048278,1.5482711728620249
1190-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,57,0,0
1190-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,81,18.531003352193114,0.18058879252084517
1190-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,57,89.53100335219311,1.2386362236886659
1190-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,81,0,0
1190-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,57,0,0
1190-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,81,0,0
1190-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,57,2.2655016760965574,0.03134257783085422
1190-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,81,0,0
1190-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,57,0,0
1191-NW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,80,665.5930100565794,6.554865563219305
1191-NW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,59,0,0
1191-NW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,80,197.92051843706213,1.9491526668035897
1191-NW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,59,0,0
1191-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,80,0,0
1191-NW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,59,0,0
1191-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,80,0,0
1191-NW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,59,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,80,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,59,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,80,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,59,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,80,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,59,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,80,0,0
1191-SE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,59,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Adult Female,summer,80,87.59301005657935,0.8626298601750448
1191-SW_ABMI Ecosystem Health 2015,Moose Adult Female,winter,59,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Adult Male,summer,80,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Adult Male,winter,59,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,80,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,59,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,80,0,0
1191-SW_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,59,0,0
1192B-NE_ABMI Ecosystem Health 2015,Moose Adult Female,summer,82,274.9205184370621,2.646489530462107
1192B-NE_ABMI Ecosystem Health 2015,Moose Adult Female,winter,6,0,0
1192B-NE_ABMI Ecosystem Health 2015,Moose Adult Male,summer,82,0,0
1192B-NE_ABMI Ecosystem Health 2015,Moose Adult Male,winter,6,0,0
1192B-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,summer,82,2.2655016760965574,0.021808581262393045
1192B-NE_ABMI Ecosystem Health 2015,Moose Adult Unkn,winter,6,0,0
1192B-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,summer,82,0,0
1192B-NE_ABMI Ecosystem Health 2015,Moose Juv Unkn,winter,6,0,0
